"Date Time, GMT-04:00","Temp, °C (LGR S/N: 10951961, SEN S/N: 10951961)"
2/7/19 0:05,10.748
2/7/19 0:20,10.748
2/7/19 0:35,10.748
2/7/19 0:50,10.748
2/7/19 1:05,10.748
2/7/19 1:20,10.748
2/7/19 1:35,10.748
2/7/19 1:50,10.748
2/7/19 2:05,10.748
2/7/19 2:20,10.748
2/7/19 2:35,10.748
2/7/19 2:50,10.748
2/7/19 3:05,10.748
2/7/19 3:20,10.748
2/7/19 3:35,10.748
2/7/19 3:50,10.748
2/7/19 4:05,10.748
2/7/19 4:20,10.748
2/7/19 4:35,10.748
2/7/19 4:50,10.748
2/7/19 5:05,10.748
2/7/19 5:20,10.748
2/7/19 5:35,10.748
2/7/19 5:50,10.748
2/7/19 6:05,10.748
2/7/19 6:20,10.846
2/7/19 6:35,10.846
2/7/19 6:50,10.846
2/7/19 7:05,10.846
2/7/19 7:20,10.846
2/7/19 7:35,10.846
2/7/19 7:50,10.748
2/7/19 8:05,10.748
2/7/19 8:20,10.748
2/7/19 8:35,10.748
2/7/19 8:50,10.748
2/7/19 9:05,10.748
2/7/19 9:20,10.748
2/7/19 9:35,10.748
2/7/19 9:50,10.748
2/7/19 10:05,10.748
2/7/19 10:20,10.748
2/7/19 10:35,10.846
2/7/19 10:50,10.846
2/7/19 11:05,10.944
2/7/19 11:20,11.041
2/7/19 11:35,11.041
2/7/19 11:50,11.139
2/7/19 12:05,11.236
2/7/19 12:20,11.334
2/7/19 12:35,11.431
2/7/19 12:50,11.431
2/7/19 13:05,11.528
2/7/19 13:20,11.625
2/7/19 13:35,11.722
2/7/19 13:50,11.819
2/7/19 14:05,11.916
2/7/19 14:20,11.916
2/7/19 14:35,12.013
2/7/19 14:50,12.11
2/7/19 15:05,12.11
2/7/19 15:20,12.11
2/7/19 15:35,12.11
2/7/19 15:50,12.11
2/7/19 16:05,12.013
2/7/19 16:20,12.013
2/7/19 16:35,12.013
2/7/19 16:50,12.013
2/7/19 17:05,12.013
2/7/19 17:20,12.013
2/7/19 17:35,12.013
2/7/19 17:50,12.013
2/7/19 18:05,12.013
2/7/19 18:20,12.013
2/7/19 18:35,11.916
2/7/19 18:50,11.916
2/7/19 19:05,11.916
2/7/19 19:20,11.916
2/7/19 19:35,11.819
2/7/19 19:50,11.819
2/7/19 20:05,11.722
2/7/19 20:20,11.722
2/7/19 20:35,11.722
2/7/19 20:50,11.625
2/7/19 21:05,11.625
2/7/19 21:20,11.625
2/7/19 21:35,11.528
2/7/19 21:50,11.528
2/7/19 22:05,11.528
2/7/19 22:20,11.528
2/7/19 22:35,11.625
2/7/19 22:50,11.625
2/7/19 23:05,11.625
2/7/19 23:20,11.528
2/7/19 23:35,11.528
2/7/19 23:50,11.528
2/8/19 0:05,11.528
2/8/19 0:20,11.528
2/8/19 0:35,11.528
2/8/19 0:50,11.431
2/8/19 1:05,11.431
2/8/19 1:20,11.431
2/8/19 1:35,11.431
2/8/19 1:50,11.431
2/8/19 2:05,11.431
2/8/19 2:20,11.431
2/8/19 2:35,11.431
2/8/19 2:50,11.431
2/8/19 3:05,11.431
2/8/19 3:20,11.431
2/8/19 3:35,11.431
2/8/19 3:50,11.431
2/8/19 4:05,11.431
2/8/19 4:20,11.431
2/8/19 4:35,11.431
2/8/19 4:50,11.431
2/8/19 5:05,11.431
2/8/19 5:20,11.334
2/8/19 5:35,11.334
2/8/19 5:50,11.236
2/8/19 6:05,11.236
2/8/19 6:20,11.236
2/8/19 6:35,11.236
2/8/19 6:50,11.139
2/8/19 7:05,11.139
2/8/19 7:20,11.139
2/8/19 7:35,11.041
2/8/19 7:50,11.041
2/8/19 8:05,11.041
2/8/19 8:20,11.041
2/8/19 8:35,10.944
2/8/19 8:50,10.944
2/8/19 9:05,10.944
2/8/19 9:20,10.944
2/8/19 9:35,10.846
2/8/19 9:50,10.846
2/8/19 10:05,10.748
2/8/19 10:20,10.748
2/8/19 10:35,10.651
2/8/19 10:50,10.651
2/8/19 11:05,10.553
2/8/19 11:20,10.455
2/8/19 11:35,10.455
2/8/19 11:50,10.357
2/8/19 12:05,10.357
2/8/19 12:20,10.259
2/8/19 12:35,10.161
2/8/19 12:50,10.161
2/8/19 13:05,10.063
2/8/19 13:20,10.063
2/8/19 13:35,9.965
2/8/19 13:50,9.965
2/8/19 14:05,9.965
2/8/19 14:20,9.965
2/8/19 14:35,10.063
2/8/19 14:50,10.063
2/8/19 15:05,10.063
2/8/19 15:20,10.063
2/8/19 15:35,9.965
2/8/19 15:50,9.965
2/8/19 16:05,9.965
2/8/19 16:20,9.965
2/8/19 16:35,9.866
2/8/19 16:50,9.866
2/8/19 17:05,9.768
2/8/19 17:20,9.768
2/8/19 17:35,9.669
2/8/19 17:50,9.571
2/8/19 18:05,9.472
2/8/19 18:20,9.373
2/8/19 18:35,9.373
2/8/19 18:50,9.275
2/8/19 19:05,9.176
2/8/19 19:20,9.077
2/8/19 19:35,9.077
2/8/19 19:50,8.978
2/8/19 20:05,8.879
2/8/19 20:20,8.879
2/8/19 20:35,8.779
2/8/19 20:50,8.68
2/8/19 21:05,8.68
2/8/19 21:20,8.68
2/8/19 21:35,8.581
2/8/19 21:50,8.581
2/8/19 22:05,8.481
2/8/19 22:20,8.481
2/8/19 22:35,8.481
2/8/19 22:50,8.382
2/8/19 23:05,8.282
2/8/19 23:20,8.282
2/8/19 23:35,8.182
2/8/19 23:50,8.182
2/9/19 0:05,8.182
2/9/19 0:20,8.182
2/9/19 0:35,8.082
2/9/19 0:50,8.082
2/9/19 1:05,8.082
2/9/19 1:20,7.983
2/9/19 1:35,7.983
2/9/19 1:50,7.983
2/9/19 2:05,7.983
2/9/19 2:20,7.882
2/9/19 2:35,7.882
2/9/19 2:50,7.882
2/9/19 3:05,7.882
2/9/19 3:20,7.782
2/9/19 3:35,7.782
2/9/19 3:50,7.782
2/9/19 4:05,7.682
2/9/19 4:20,7.682
2/9/19 4:35,7.682
2/9/19 4:50,7.582
2/9/19 5:05,7.582
2/9/19 5:20,7.582
2/9/19 5:35,7.582
2/9/19 5:50,7.481
2/9/19 6:05,7.481
2/9/19 6:20,7.481
2/9/19 6:35,7.481
2/9/19 6:50,7.381
2/9/19 7:05,7.381
2/9/19 7:20,7.381
2/9/19 7:35,7.381
2/9/19 7:50,7.28
2/9/19 8:05,7.28
2/9/19 8:20,7.28
2/9/19 8:35,7.179
2/9/19 8:50,7.179
2/9/19 9:05,7.179
2/9/19 9:20,7.079
2/9/19 9:35,7.079
2/9/19 9:50,7.079
2/9/19 10:05,7.079
2/9/19 10:20,7.079
2/9/19 10:35,7.079
2/9/19 10:50,7.079
2/9/19 11:05,7.079
2/9/19 11:20,7.179
2/9/19 11:35,7.179
2/9/19 11:50,7.28
2/9/19 12:05,7.381
2/9/19 12:20,7.481
2/9/19 12:35,7.481
2/9/19 12:50,7.582
2/9/19 13:05,7.582
2/9/19 13:20,7.682
2/9/19 13:35,7.782
2/9/19 13:50,7.882
2/9/19 14:05,7.882
2/9/19 14:20,7.983
2/9/19 14:35,8.082
2/9/19 14:50,8.182
2/9/19 15:05,8.182
2/9/19 15:20,8.282
2/9/19 15:35,8.382
2/9/19 15:50,8.382
2/9/19 16:05,8.481
2/9/19 16:20,8.481
2/9/19 16:35,8.481
2/9/19 16:50,8.481
2/9/19 17:05,8.481
2/9/19 17:20,8.481
2/9/19 17:35,8.481
2/9/19 17:50,8.481
2/9/19 18:05,8.382
2/9/19 18:20,8.382
2/9/19 18:35,8.282
2/9/19 18:50,8.282
2/9/19 19:05,8.182
2/9/19 19:20,8.182
2/9/19 19:35,8.082
2/9/19 19:50,8.082
2/9/19 20:05,7.983
2/9/19 20:20,7.983
2/9/19 20:35,7.882
2/9/19 20:50,7.882
2/9/19 21:05,7.782
2/9/19 21:20,7.782
2/9/19 21:35,7.682
2/9/19 21:50,7.682
2/9/19 22:05,7.582
2/9/19 22:20,7.582
2/9/19 22:35,7.481
2/9/19 22:50,7.381
2/9/19 23:05,7.381
2/9/19 23:20,7.381
2/9/19 23:35,7.28
2/9/19 23:50,7.28
2/10/19 0:05,7.179
2/10/19 0:20,7.179
2/10/19 0:35,7.079
2/10/19 0:50,7.079
2/10/19 1:05,7.079
2/10/19 1:20,6.978
2/10/19 1:35,6.978
2/10/19 1:50,6.978
2/10/19 2:05,6.978
2/10/19 2:20,6.978
2/10/19 2:35,6.978
2/10/19 2:50,6.978
2/10/19 3:05,6.978
2/10/19 3:20,6.978
2/10/19 3:35,6.978
2/10/19 3:50,6.978
2/10/19 4:05,6.978
2/10/19 4:20,6.978
2/10/19 4:35,6.877
2/10/19 4:50,6.877
2/10/19 5:05,6.877
2/10/19 5:20,6.877
2/10/19 5:35,6.877
2/10/19 5:50,6.877
2/10/19 6:05,6.775
2/10/19 6:20,6.775
2/10/19 6:35,6.775
2/10/19 6:50,6.775
2/10/19 7:05,6.674
2/10/19 7:20,6.674
2/10/19 7:35,6.674
2/10/19 7:50,6.674
2/10/19 8:05,6.674
2/10/19 8:20,6.674
2/10/19 8:35,6.674
2/10/19 8:50,6.573
2/10/19 9:05,6.573
2/10/19 9:20,6.573
2/10/19 9:35,6.573
2/10/19 9:50,6.573
2/10/19 10:05,6.573
2/10/19 10:20,6.674
2/10/19 10:35,6.674
2/10/19 10:50,6.573
2/10/19 11:05,6.674
2/10/19 11:20,6.674
2/10/19 11:35,6.674
2/10/19 11:50,6.573
2/10/19 12:05,6.674
2/10/19 12:20,6.674
2/10/19 12:35,6.674
2/10/19 12:50,6.674
2/10/19 13:05,6.674
2/10/19 13:20,6.674
2/10/19 13:35,6.674
2/10/19 13:50,6.674
2/10/19 14:05,6.674
2/10/19 14:20,6.674
2/10/19 14:35,6.674
2/10/19 14:50,6.674
2/10/19 15:05,6.674
2/10/19 15:20,6.674
2/10/19 15:35,6.674
2/10/19 15:50,6.674
2/10/19 16:05,6.674
2/10/19 16:20,6.573
2/10/19 16:35,6.573
2/10/19 16:50,6.573
2/10/19 17:05,6.573
2/10/19 17:20,6.573
2/10/19 17:35,6.573
2/10/19 17:50,6.573
2/10/19 18:05,6.573
2/10/19 18:20,6.573
2/10/19 18:35,6.674
2/10/19 18:50,6.674
2/10/19 19:05,6.674
2/10/19 19:20,6.674
2/10/19 19:35,6.775
2/10/19 19:50,6.775
2/10/19 20:05,6.877
2/10/19 20:20,6.877
2/10/19 20:35,6.877
2/10/19 20:50,6.978
2/10/19 21:05,6.978
2/10/19 21:20,6.978
2/10/19 21:35,6.978
2/10/19 21:50,6.978
2/10/19 22:05,7.079
2/10/19 22:20,7.079
2/10/19 22:35,7.079
2/10/19 22:50,7.079
2/10/19 23:05,7.179
2/10/19 23:20,7.179
2/10/19 23:35,7.179
2/10/19 23:50,7.179
2/11/19 0:05,7.179
2/11/19 0:20,7.28
2/11/19 0:35,7.28
2/11/19 0:50,7.28
2/11/19 1:05,7.28
2/11/19 1:20,7.28
2/11/19 1:35,7.381
2/11/19 1:50,7.381
2/11/19 2:05,7.381
2/11/19 2:20,7.381
2/11/19 2:35,7.381
2/11/19 2:50,7.381
2/11/19 3:05,7.481
